id_postulante,correo,num_telefono,nombres,apellidos,nota_postulacion,opcion_1,politica_cuotas,vulnerable,cuadro_honor,pueblo_nacionalidad,titulo_superior
P0091,rosa91@mail.com,0972879374,Rosa,Cedeño,801,DE1,NO,NO,NO,NO,NO
P0092,ana92@mail.com,0991556803,Ana,Zambrano,781,IN1,NO,NO,NO,NO,NO
P0093,lucia93@mail.com,0941902252,Lucia,Cedeño,788,ME1,NO,NO,NO,NO,NO
P0094,maria94@mail.com,0951313233,Maria,Castro,659,EN1,NO,NO,NO,SI,NO
P0095,maria95@mail.com,0940882382,Maria,Zambrano,742,PS1,NO,SI,NO,NO,NO
P0096,ana96@mail.com,0967466484,Ana,Perez,842,IS2,NO,NO,NO,NO,NO
P0097,carlos97@mail.com,0948436675,Carlos,Gomez,664,IN1,NO,NO,NO,NO,NO
P0098,luis98@mail.com,0964062478,Luis,Perez,944,CO2,NO,NO,NO,NO,NO
P0099,luis99@mail.com,0913436473,Luis,Mendoza,839,AD1,NO,NO,NO,NO,NO
P0100,sofia100@mail.com,0978675400,Sofia,Gomez,908,EN1,NO,NO,NO,NO,NO
P0101,sofia101@mail.com,0962017511,Sofia,Zambrano,963,ME1,NO,NO,NO,NO,NO
P0102,maria102@mail.com,0968461595,Maria,Lopez,735,AD1,NO,NO,NO,NO,NO
P0103,lucia103@mail.com,0933167088,Lucia,Perez,946,AD2,NO,NO,NO,NO,NO
P0104,rosa104@mail.com,0912307722,Rosa,Gomez,723,CO2,NO,NO,NO,NO,NO
P0105,ana105@mail.com,0949056561,Ana,Mendoza,657,IS2,NO,NO,NO,NO,NO
P0106,lucia106@mail.com,0983198331,Lucia,Zambrano,724,EC1,NO,NO,NO,NO,NO
P0107,miguel107@mail.com,0916934267,Miguel,Castro,670,IS2,NO,NO,SI,NO,NO
P0108,miguel108@mail.com,0987480026,Miguel,Mendoza,979,PS1,NO,SI,NO,NO,NO
P0109,ana109@mail.com,0987812755,Ana,Vera,917,IS2,NO,NO,NO,NO,NO
P0110,maria110@mail.com,0932710016,Maria,Lopez,917,PS1,NO,NO,NO,NO,SI
P0111,pedro111@mail.com,0997188135,Pedro,Vera,738,ME1,NO,NO,NO,NO,NO
P0112,ana112@mail.com,0986586436,Ana,Mendoza,753,PS1,NO,NO,NO,NO,NO
P0113,miguel113@mail.com,0932070444,Miguel,Perez,882,CO2,SI,NO,NO,SI,NO
P0114,rosa114@mail.com,0997081553,Rosa,Mendoza,939,AR1,NO,SI,NO,NO,NO
P0115,carlos115@mail.com,0923859647,Carlos,Cedeño,655,IN1,NO,NO,SI,NO,NO
P0116,carlos116@mail.com,0975517388,Carlos,Garcia,831,CO2,NO,NO,NO,NO,NO
P0117,carlos117@mail.com,0974543428,Carlos,Perez,659,EN1,NO,NO,NO,NO,NO
P0118,ana118@mail.com,0980468946,Ana,Lopez,851,ME1,NO,NO,NO,NO,NO
P0119,luis119@mail.com,0981200034,Luis,Cedeño,897,AR1,NO,NO,NO,NO,NO
P0120,juan120@mail.com,0980157047,Juan,Mendoza,821,CO2,NO,NO,NO,NO,NO
P0121,rosa121@mail.com,0961344081,Rosa,Mendoza,843,AR1,NO,NO,NO,NO,NO
P0122,juan122@mail.com,0962177972,Juan,Zambrano,784,MA1,NO,NO,NO,NO,NO
P0123,lucia123@mail.com,0947721355,Lucia,Zambrano,852,EN1,NO,NO,NO,NO,NO
P0124,sofia124@mail.com,0915591496,Sofia,Torres,970,IS2,NO,NO,NO,NO,NO
P0125,pedro125@mail.com,0946581169,Pedro,Vera,965,AD2,NO,SI,NO,NO,NO
P0126,luis126@mail.com,0934790212,Luis,Perez,851,CO2,NO,NO,NO,NO,NO
P0127,miguel127@mail.com,0941928215,Miguel,Torres,846,AR1,NO,NO,NO,NO,NO
P0128,carlos128@mail.com,0968884077,Carlos,Mendoza,707,ME1,NO,NO,SI,NO,NO
P0129,ana129@mail.com,0995843178,Ana,Cedeño,772,PS1,NO,NO,NO,NO,NO
P0130,carlos130@mail.com,0940879039,Carlos,Perez,689,IN1,NO,NO,NO,NO,NO
P0131,rosa131@mail.com,0999112568,Rosa,Mendoza,824,IS3,NO,NO,SI,NO,NO
P0132,luis132@mail.com,0933164251,Luis,Gomez,893,AR1,NO,NO,NO,NO,NO
P0133,maria133@mail.com,0954313384,Maria,Castro,735,ME1,NO,NO,NO,NO,NO
P0134,luis134@mail.com,0941640107,Luis,Gomez,957,EC1,NO,NO,NO,NO,NO
P0135,miguel135@mail.com,0919681106,Miguel,Vera,967,IS2,NO,NO,NO,NO,NO
P0136,sofia136@mail.com,0970246376,Sofia,Torres,881,EN1,NO,NO,NO,NO,NO
P0137,pedro137@mail.com,0913607315,Pedro,Mendoza,656,IS3,NO,NO,NO,NO,SI
P0138,sofia138@mail.com,0925611760,Sofia,Perez,844,ME1,NO,NO,NO,NO,NO
P0139,miguel139@mail.com,0923468346,Miguel,Torres,973,CO1,SI,NO,NO,NO,NO
P0140,pedro140@mail.com,0976182200,Pedro,Gomez,711,MA1,NO,NO,NO,NO,NO
P0141,carlos141@mail.com,0945571996,Carlos,Perez,733,IS3,NO,NO,NO,NO,NO
P0142,ana142@mail.com,0950835426,Ana,Cedeño,830,PS1,NO,NO,NO,NO,NO
P0143,juan143@mail.com,0910641703,Juan,Castro,706,PS1,NO,NO,NO,NO,NO
P0144,luis144@mail.com,0936790273,Luis,Perez,803,CO1,NO,NO,SI,NO,NO
P0145,pedro145@mail.com,0912096115,Pedro,Mendoza,676,CO1,NO,SI,SI,NO,NO
P0146,ana146@mail.com,0927734845,Ana,Torres,656,AD1,NO,NO,NO,NO,NO
P0147,lucia147@mail.com,0959149731,Lucia,Lopez,851,AR1,NO,NO,NO,NO,SI
P0148,ana148@mail.com,0982178486,Ana,Cedeño,966,AR1,NO,NO,SI,NO,NO
P0149,pedro149@mail.com,0992584070,Pedro,Garcia,810,MA1,NO,NO,NO,NO,NO
P0150,juan150@mail.com,0962109787,Juan,Vera,975,AR1,NO,NO,NO,NO,NO
P0151,ana151@mail.com,0987990385,Ana,Torres,753,IN1,NO,NO,NO,NO,NO
P0152,lucia152@mail.com,0913576306,Lucia,Gomez,740,CO1,NO,SI,SI,NO,NO
P0153,maria153@mail.com,0954087916,Maria,Garcia,730,CO2,NO,NO,NO,NO,NO
P0154,maria154@mail.com,0992660477,Maria,Cedeño,734,DE1,NO,NO,NO,NO,NO
P0155,rosa155@mail.com,0967538749,Rosa,Mendoza,986,AD1,NO,NO,NO,NO,NO
P0156,maria156@mail.com,0911115017,Maria,Gomez,840,EN1,NO,NO,NO,SI,NO
P0157,rosa157@mail.com,0977764696,Rosa,Castro,691,CO1,NO,NO,NO,NO,NO
P0158,carlos158@mail.com,0972976115,Carlos,Garcia,673,DE1,NO,NO,NO,NO,NO
P0159,juan159@mail.com,0969279563,Juan,Gomez,679,PS1,NO,NO,NO,NO,NO
P0160,pedro160@mail.com,0976667652,Pedro,Garcia,911,PS1,NO,NO,NO,SI,NO
P0161,luis161@mail.com,0984058844,Luis,Mendoza,713,CO1,NO,SI,NO,NO,NO
P0162,maria162@mail.com,0982712251,Maria,Zambrano,947,EC1,NO,NO,SI,NO,NO
P0163,miguel163@mail.com,0992248551,Miguel,Castro,761,IS2,NO,NO,SI,NO,NO
P0164,sofia164@mail.com,0936098098,Sofia,Garcia,746,MA1,SI,NO,SI,NO,NO
P0165,carlos165@mail.com,0928112374,Carlos,Mendoza,723,AD2,NO,SI,NO,NO,SI
P0166,rosa166@mail.com,0954164534,Rosa,Vera,767,IS2,NO,NO,NO,NO,NO
P0167,carlos167@mail.com,0936565425,Carlos,Cedeño,970,ME1,NO,NO,SI,NO,NO
P0168,miguel168@mail.com,0998441763,Miguel,Gomez,977,AD2,SI,NO,NO,NO,NO
P0169,miguel169@mail.com,0954282244,Miguel,Lopez,651,CO1,NO,NO,NO,NO,NO
P0170,lucia170@mail.com,0986387314,Lucia,Vera,749,EN1,NO,SI,NO,NO,SI
P0171,pedro171@mail.com,0934978164,Pedro,Mendoza,912,IS1,NO,SI,NO,NO,SI
P0172,miguel172@mail.com,0992114321,Miguel,Perez,836,DE1,NO,NO,NO,NO,NO
P0173,miguel173@mail.com,0964444734,Miguel,Castro,935,ME1,NO,NO,NO,NO,NO
P0174,miguel174@mail.com,0992368053,Miguel,Zambrano,997,PS1,NO,NO,SI,NO,NO
P0175,juan175@mail.com,0996658216,Juan,Torres,927,EC1,NO,NO,NO,NO,NO
P0176,sofia176@mail.com,0932545871,Sofia,Gomez,832,CO1,NO,NO,NO,NO,NO
P0177,luis177@mail.com,0918474555,Luis,Gomez,855,AR1,NO,NO,NO,SI,NO
P0178,lucia178@mail.com,0919449004,Lucia,Lopez,850,ME1,NO,NO,NO,SI,NO
P0179,lucia179@mail.com,0983783677,Lucia,Gomez,958,CO1,NO,NO,NO,NO,NO
P0180,miguel180@mail.com,0990677167,Miguel,Vera,791,CO2,NO,NO,NO,NO,NO
P0181,pedro181@mail.com,0915971673,Pedro,Mendoza,902,EN1,SI,NO,NO,NO,NO
P0182,pedro182@mail.com,0943725813,Pedro,Torres,954,CO1,NO,NO,NO,NO,NO
P0183,maria183@mail.com,0971819774,Maria,Torres,867,IS1,NO,NO,NO,NO,SI
P0184,pedro184@mail.com,0948607029,Pedro,Gomez,778,EN1,NO,NO,NO,NO,NO
P0185,miguel185@mail.com,0962936386,Miguel,Mendoza,692,DE1,NO,SI,NO,NO,NO
P0186,luis186@mail.com,0928755587,Luis,Mendoza,766,ME1,SI,NO,NO,NO,NO
P0187,juan187@mail.com,0945898928,Juan,Mendoza,839,MA1,NO,NO,SI,NO,NO
P0188,miguel188@mail.com,0963051152,Miguel,Mendoza,697,IS1,NO,NO,NO,NO,NO
P0189,lucia189@mail.com,0984048561,Lucia,Castro,892,CO1,NO,NO,SI,NO,NO
P0190,carlos190@mail.com,0987378134,Carlos,Mendoza,715,PS1,NO,NO,NO,NO,NO
P0191,maria191@mail.com,0984489079,Maria,Mendoza,711,IN1,NO,NO,NO,NO,NO
P0192,ana192@mail.com,0957103797,Ana,Perez,977,IS3,NO,NO,NO,NO,NO
P0193,maria193@mail.com,0987328257,Maria,Cedeño,710,PS1,NO,NO,NO,NO,NO
P0194,lucia194@mail.com,0981136454,Lucia,Vera,866,AD1,NO,SI,NO,NO,NO
P0195,ana195@mail.com,0981978746,Ana,Castro,673,DE1,NO,NO,NO,NO,NO
P0196,rosa196@mail.com,0984778067,Rosa,Zambrano,790,IN1,NO,NO,NO,SI,NO
P0197,ana197@mail.com,0969608453,Ana,Gomez,671,ME1,NO,NO,NO,NO,NO
P0198,pedro198@mail.com,0933618270,Pedro,Vera,976,IS2,NO,NO,SI,NO,NO
P0199,carlos199@mail.com,0997145792,Carlos,Torres,949,MA1,NO,NO,NO,NO,NO
P0200,pedro200@mail.com,0978921314,Pedro,Castro,731,AR1,NO,NO,NO,NO,NO
P0201,carlos201@mail.com,0917807437,Carlos,Gomez,907,AD1,NO,NO,NO,NO,NO
P0202,juan202@mail.com,0973182680,Juan,Castro,997,IS1,NO,SI,NO,NO,SI
P0203,maria203@mail.com,0954868742,Maria,Cedeño,978,CO2,NO,NO,NO,NO,NO
P0204,ana204@mail.com,0985863678,Ana,Zambrano,944,AD2,NO,SI,NO,SI,NO
P0205,ana205@mail.com,0998156306,Ana,Torres,931,EC1,NO,NO,SI,NO,NO
P0206,lucia206@mail.com,0972528081,Lucia,Lopez,942,IS3,NO,NO,NO,NO,NO
P0207,carlos207@mail.com,0931155298,Carlos,Zambrano,815,PS1,NO,NO,NO,NO,NO
P0208,luis208@mail.com,0954615671,Luis,Zambrano,700,CO2,NO,NO,NO,SI,NO
P0209,ana209@mail.com,0958567135,Ana,Castro,729,DE1,SI,NO,NO,NO,NO
P0210,luis210@mail.com,0950752620,Luis,Perez,894,EC1,NO,NO,NO,NO,NO
P0211,luis211@mail.com,0980381328,Luis,Cedeño,669,AR1,NO,SI,NO,NO,NO
P0212,carlos212@mail.com,0959436962,Carlos,Mendoza,824,CO1,SI,NO,NO,NO,NO
P0213,lucia213@mail.com,0921696261,Lucia,Torres,760,AD2,NO,NO,NO,NO,NO
P0214,maria214@mail.com,0979670572,Maria,Gomez,993,PS1,NO,NO,NO,NO,NO
P0215,ana215@mail.com,0915074820,Ana,Garcia,946,PS1,NO,NO,NO,NO,NO
P0216,carlos216@mail.com,0969495455,Carlos,Gomez,661,IS1,SI,NO,NO,NO,NO
P0217,juan217@mail.com,0994696704,Juan,Perez,887,CO1,NO,SI,NO,NO,NO
P0218,maria218@mail.com,0917713485,Maria,Perez,716,AD1,NO,NO,SI,NO,NO
P0219,carlos219@mail.com,0979700994,Carlos,Perez,787,MA1,NO,NO,SI,NO,NO
P0220,maria220@mail.com,0974021756,Maria,Castro,846,IS2,SI,SI,NO,NO,NO
P0221,ana221@mail.com,0976097884,Ana,Cedeño,720,AD1,NO,NO,NO,NO,NO
P0222,lucia222@mail.com,0982649691,Lucia,Castro,912,CO2,NO,NO,NO,NO,NO
P0223,luis223@mail.com,0935335749,Luis,Torres,859,PS1,NO,NO,NO,NO,NO
P0224,luis224@mail.com,0910741077,Luis,Castro,912,EN1,NO,SI,NO,NO,NO
P0225,pedro225@mail.com,0924165005,Pedro,Gomez,693,IS3,NO,NO,SI,NO,NO
P0226,pedro226@mail.com,0969825036,Pedro,Torres,683,PS1,NO,NO,NO,SI,SI
P0227,sofia227@mail.com,0970859652,Sofia,Torres,737,CO1,NO,NO,NO,NO,NO
P0228,juan228@mail.com,0979447237,Juan,Mendoza,777,ME1,NO,NO,NO,NO,SI
P0229,rosa229@mail.com,0997992341,Rosa,Zambrano,725,CO2,NO,NO,NO,NO,NO
P0230,luis230@mail.com,0976065111,Luis,Mendoza,998,AD1,NO,NO,NO,NO,NO
P0231,sofia231@mail.com,0975288016,Sofia,Castro,883,AD1,NO,NO,NO,NO,NO
P0232,maria232@mail.com,0976602438,Maria,Torres,955,IS2,NO,NO,NO,NO,NO
P0233,juan233@mail.com,0984649018,Juan,Lopez,910,CO2,SI,NO,NO,NO,SI
P0234,carlos234@mail.com,0961444692,Carlos,Perez,853,CO1,NO,NO,NO,NO,NO
P0235,rosa235@mail.com,0979479562,Rosa,Torres,675,IS1,NO,NO,NO,NO,NO
P0236,maria236@mail.com,0930216039,Maria,Zambrano,823,MA1,NO,SI,NO,NO,NO
P0237,sofia237@mail.com,0967706689,Sofia,Gomez,911,EC1,NO,NO,NO,NO,NO
P0238,juan238@mail.com,0945273743,Juan,Garcia,977,IS3,NO,NO,NO,NO,NO
P0239,rosa239@mail.com,0989109402,Rosa,Garcia,829,PS1,SI,NO,SI,NO,NO
P0240,sofia240@mail.com,0925471581,Sofia,Vera,762,DE1,NO,SI,NO,NO,NO
P0241,maria241@mail.com,0944807766,Maria,Vera,835,AR1,NO,SI,NO,NO,NO
P0242,sofia242@mail.com,0976943904,Sofia,Cedeño,986,IS3,SI,SI,NO,NO,NO
P0243,pedro243@mail.com,0910905122,Pedro,Gomez,951,DE1,NO,NO,NO,NO,NO
P0244,pedro244@mail.com,0997366592,Pedro,Zambrano,888,EN1,NO,NO,NO,NO,NO
P0245,ana245@mail.com,0938379225,Ana,Garcia,685,IS3,NO,NO,NO,NO,NO
P0246,rosa246@mail.com,0964136084,Rosa,Vera,658,CO1,SI,SI,NO,NO,NO
P0247,maria247@mail.com,0921072286,Maria,Torres,766,IS3,NO,NO,NO,NO,NO
P0248,luis248@mail.com,0946156412,Luis,Torres,905,IS2,NO,NO,NO,NO,NO
P0249,sofia249@mail.com,0956669000,Sofia,Garcia,940,PS1,NO,NO,NO,NO,NO
P0250,carlos250@mail.com,0935062175,Carlos,Gomez,814,ME1,NO,SI,NO,NO,NO
P0251,luis251@mail.com,0966730210,Luis,Perez,902,IS2,NO,NO,NO,NO,NO
P0252,lucia252@mail.com,0942525678,Lucia,Torres,785,AD2,NO,NO,NO,NO,NO
P0253,rosa253@mail.com,0949098039,Rosa,Gomez,785,EC1,NO,NO,NO,NO,NO
P0254,carlos254@mail.com,0950601847,Carlos,Vera,901,IN1,NO,NO,NO,NO,NO
P0255,maria255@mail.com,0966230300,Maria,Vera,873,EN1,NO,NO,NO,NO,NO
P0256,juan256@mail.com,0919053668,Juan,Torres,729,EC1,NO,NO,NO,NO,NO
P0257,carlos257@mail.com,0990380598,Carlos,Zambrano,722,CO1,NO,NO,NO,NO,NO
P0258,sofia258@mail.com,0911455080,Sofia,Garcia,775,MA1,NO,NO,NO,NO,NO
P0259,rosa259@mail.com,0956560602,Rosa,Lopez,870,CO2,NO,NO,NO,NO,NO
P0260,maria260@mail.com,0948527181,Maria,Cedeño,985,EN1,NO,NO,NO,NO,NO
P0261,sofia261@mail.com,0989841830,Sofia,Lopez,883,AD2,NO,NO,NO,NO,NO
P0262,miguel262@mail.com,0912371052,Miguel,Zambrano,853,CO1,NO,SI,NO,NO,NO
P0263,luis263@mail.com,0913282552,Luis,Vera,842,IS1,NO,NO,NO,NO,SI
P0264,rosa264@mail.com,0917774290,Rosa,Garcia,773,AD1,NO,NO,NO,NO,NO
P0265,maria265@mail.com,0980986955,Maria,Cedeño,790,EC1,NO,NO,NO,NO,NO
P0266,carlos266@mail.com,0960002473,Carlos,Torres,662,ME1,NO,NO,NO,NO,NO
P0267,rosa267@mail.com,0922618917,Rosa,Castro,743,AD2,NO,NO,NO,NO,NO
P0268,lucia268@mail.com,0997884106,Lucia,Garcia,947,IS2,NO,NO,SI,SI,NO
P0269,ana269@mail.com,0929725848,Ana,Lopez,660,IS3,NO,NO,SI,NO,NO
P0270,ana270@mail.com,0990354467,Ana,Castro,872,DE1,NO,NO,NO,NO,NO
P0271,miguel271@mail.com,0982824904,Miguel,Torres,900,AR1,NO,NO,NO,NO,NO
P0272,ana272@mail.com,0959145069,Ana,Gomez,856,DE1,SI,NO,NO,NO,NO
P0273,sofia273@mail.com,0934077457,Sofia,Lopez,696,DE1,NO,NO,NO,NO,NO
P0274,pedro274@mail.com,0974657097,Pedro,Castro,985,IS2,SI,NO,NO,NO,NO
P0275,miguel275@mail.com,0965528828,Miguel,Castro,835,IS1,SI,NO,NO,NO,NO
P0276,miguel276@mail.com,0963467814,Miguel,Castro,892,AD1,NO,NO,NO,NO,NO
P0277,ana277@mail.com,0980699158,Ana,Zambrano,853,IS2,SI,NO,NO,NO,NO
P0278,carlos278@mail.com,0967328923,Carlos,Perez,727,MA1,NO,NO,NO,NO,NO
P0279,pedro279@mail.com,0949517577,Pedro,Garcia,918,ME1,NO,NO,SI,SI,NO
P0280,maria280@mail.com,0958724032,Maria,Torres,989,AD1,SI,NO,NO,NO,NO
P0281,lucia281@mail.com,0921571657,Lucia,Mendoza,922,IS3,NO,NO,NO,NO,NO
